MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind
0,0.706963397,0,0.756716071
0,0.724505068,0,0.694808849
0,0.734908159,0,0.668755563
0,0.728718077,0,0.648867172
0,0.713380375,0,0.64315428
0,0.69268954,0,0.628617471
0.003585591,0.645688595,0.000114246,0.670180694
0.052419358,0.57200692,0.030990028,0.646495419
0.110972823,0.474786706,0.162592418,0.59705001
0.197291214,0.330517977,0.384678101,0.485681325
0.352462644,0.172197423,0.610441814,0.397245801
0.470545471,0.150095917,0.788256292,0.397328164
0.497513541,0.150360793,0.836858205,0.409603847
0.410550203,0.153679919,0.785281073,0.40590883
0.397840655,0.199136198,0.697572202,0.40478747
0.421839089,0.246237836,0.593244269,0.471394899
0.402658447,0.281502332,0.485438363,0.567176504
0.503563178,0.310086223,0.474110601,0.410904175
0.607920646,0.343370983,0.477321204,0.330502173
0.445853795,0.367816851,0.271199116,0.263576282
0.093708676,0.377914805,0.049950413,0.179963044
0.000362427,0.423336475,0.00109193,0.401103323
0,0.547254479,0,0.377826585
0,0.592223927,0,0.3509835
0,0.632078081,0,0.3975699
0,0.653899602,0,0.54097051
0,0.650536185,0,0.699023115
0,0.646018054,0,0.753032822
0,0.63402901,0,0.720958807
0,0.61049922,0,0.71739518
0.028554659,0.564866445,0.001835392,0.680054763
0.357535174,0.52474607,0.142843762,0.637179416
0.74152047,0.482841063,0.553497383,0.360929262
0.877979857,0.418441001,0.76906295,0.141401532
0.929412358,0.288639116,0.83939493,0.087749798
0.919607508,0.332921896,0.869783775,0.046721084
0.849552159,0.384690637,0.847672421,0.015357688
0.82776922,0.472168944,0.821065246,0.007108467
0.841382186,0.573533,0.834836936,0.014456981
0.839437785,0.626925442,0.847250994,0.027290682
0.777513911,0.657447728,0.83086015,0.043404878
0.742699033,0.687615999,0.794040354,0.063865412
0.688212578,0.712787536,0.742519065,0.102585441
0.502916372,0.732610843,0.559058951,0.130804652
0.129487951,0.735293919,0.171651481,0.191924217
0.001025708,0.708994409,0.004231857,0.436617308
0,0.762057715,0,0.593718868
0,0.768885469,0,0.5868688
0,0.75931578,0,0.582952447
0,0.727671129,0,0.559597532
0,0.726536385,0,0.510555855
0,0.740639107,0,0.465290896
0,0.719281952,0,0.434728026
0,0.700092179,0,0.364351686
0.020113521,0.680962054,0.000687353,0.314558693
