elec_demand_AZ,elec_demand_CA,elec_demand_CO,elec_demand_ID,elec_demand_MT,elec_demand_NM,elec_demand_NV,elec_demand_OR,elec_demand_UT,elec_demand_WA,elec_demand_WY
14077.0,58945.0,12116.0,5274.0,2982.0,3630.0,7334.0,10554.0,7478.0,17870.0,3086.0
13606.0,57516.0,11867.0,5146.0,2930.0,3601.0,7262.0,10395.0,7399.0,17513.0,3093.0
13241.0,55748.0,11574.0,5057.0,2890.0,3559.0,7012.0,10162.0,7287.0,16908.0,3068.0
12969.0,54884.0,11229.0,4966.0,2857.0,3492.0,6798.0,10005.0,7214.0,16463.0,3007.0
13221.0,54367.0,11281.0,4980.0,2919.0,3536.0,6707.0,9734.0,7269.0,15826.0,2996.0
13747.0,53382.0,11788.0,5076.0,3045.0,3501.0,6559.0,9715.0,7479.0,15844.0,2988.0
14752.0,54853.0,12889.0,5304.0,3234.0,3586.0,6635.0,9801.0,7724.0,15992.0,3028.0
15767.0,57458.0,13672.0,5587.0,3384.0,3807.0,6924.0,10250.0,8137.0,16866.0,3170.0
15745.0,63390.0,13616.0,5614.0,3348.0,3715.0,7646.0,10896.0,8137.0,18283.0,3188.0
15137.0,67492.0,13106.0,5442.0,3208.0,3638.0,7986.0,11178.0,7880.0,18840.0,3093.0
14626.0,66752.0,12536.0,5210.0,3065.0,3513.0,7951.0,11001.0,7535.0,18580.0,3038.0
13911.0,63308.0,11910.0,4948.0,2894.0,3387.0,7619.0,10542.0,7144.0,17730.0,3088.0
12812.0,59760.0,10959.0,4611.0,2671.0,3159.0,7402.0,10032.0,6667.0,16942.0,2950.0
11731.0,55735.0,10330.0,4280.0,2493.0,2990.0,7007.0,9338.0,6235.0,15776.0,2857.0
10976.0,50210.0,9722.0,3998.0,2352.0,2767.0,6503.0,8609.0,5861.0,14502.0,2770.0
10580.0,45306.0,9448.0,3847.0,2268.0,2720.0,6030.0,7850.0,5645.0,13198.0,2759.0
10294.0,41540.0,9341.0,3735.0,2215.0,2731.0,5744.0,7427.0,5542.0,12460.0,2736.0
10267.0,38889.0,9176.0,3674.0,2166.0,2723.0,5510.0,7176.0,5426.0,12023.0,2673.0
10517.0,37329.0,9140.0,3704.0,2197.0,2762.0,5364.0,7027.0,5444.0,11799.0,2625.0
11110.0,36276.0,9477.0,3853.0,2271.0,2853.0,5332.0,7015.0,5660.0,11779.0,2620.0
11847.0,36409.0,10056.0,4086.0,2420.0,2981.0,5411.0,7238.0,6074.0,12119.0,2711.0
12849.0,38112.0,10804.0,4431.0,2620.0,3224.0,5558.0,7674.0,6713.0,12873.0,2877.0
13380.0,40626.0,11355.0,4739.0,2734.0,3389.0,5756.0,8249.0,7069.0,13900.0,3051.0
13461.0,44292.0,11704.0,4900.0,2839.0,3490.0,6121.0,8850.0,7322.0,14991.0,3168.0
13442.0,47173.0,11720.0,4973.0,2864.0,3521.0,6463.0,9329.0,7364.0,15838.0,3240.0
13344.0,49421.0,11869.0,4956.0,2886.0,3568.0,6574.0,9485.0,7401.0,16125.0,3275.0
13164.0,49894.0,11927.0,4950.0,2896.0,3576.0,6462.0,9414.0,7349.0,15999.0,3265.0
13038.0,51532.0,11974.0,4943.0,2866.0,3564.0,6454.0,9350.0,7279.0,15940.0,3272.0
13064.0,50813.0,11937.0,4929.0,2894.0,3559.0,6380.0,9225.0,7290.0,15702.0,3203.0
13219.0,50119.0,12303.0,4950.0,2967.0,3499.0,6324.0,9016.0,7327.0,15331.0,3188.0
13954.0,50654.0,13226.0,5085.0,3158.0,3612.0,6349.0,9026.0,7508.0,15313.0,3095.0
14863.0,51640.0,13545.0,5304.0,3229.0,3678.0,6546.0,9388.0,7755.0,16014.0,3173.0
14990.0,56822.0,13744.0,5356.0,3200.0,3693.0,7230.0,10087.0,7893.0,17346.0,3267.0
14785.0,59356.0,13344.0,5276.0,3117.0,3584.0,7454.0,10334.0,7636.0,17644.0,3191.0
14388.0,59443.0,12827.0,5110.0,2996.0,3464.0,7452.0,10299.0,7388.0,17664.0,3162.0
13798.0,57951.0,12089.0,4862.0,2855.0,3418.0,7278.0,10033.0,7042.0,17192.0,3049.0
12824.0,55519.0,11416.0,4574.0,2668.0,3224.0,7106.0,9602.0,6611.0,16409.0,2953.0
12099.0,52731.0,10645.0,4308.0,2492.0,3048.0,6840.0,9023.0,6212.0,15506.0,2848.0
11631.0,48628.0,10095.0,4060.0,2370.0,2926.0,6603.0,8493.0,5868.0,14514.0,2783.0
11269.0,44709.0,9769.0,3895.0,2294.0,2847.0,6114.0,7885.0,5612.0,13528.0,2799.0
11113.0,41204.0,9567.0,3780.0,2231.0,2803.0,5842.0,7455.0,5488.0,12830.0,2746.0
11067.0,38777.0,9290.0,3733.0,2195.0,2795.0,5679.0,7198.0,5408.0,12409.0,2717.0
11272.0,37435.0,9183.0,3760.0,2206.0,2796.0,5553.0,7086.0,5397.0,12238.0,2662.0
11926.0,36258.0,9404.0,3883.0,2268.0,2865.0,5486.0,7024.0,5595.0,12203.0,2631.0
12836.0,36095.0,10017.0,4130.0,2413.0,2981.0,5553.0,7203.0,5985.0,12502.0,2708.0
13687.0,37641.0,10814.0,4436.0,2611.0,3214.0,5740.0,7565.0,6595.0,13201.0,2862.0
13861.0,39911.0,11290.0,4709.0,2709.0,3349.0,5915.0,8134.0,6919.0,14232.0,3009.0
13730.0,43920.0,11736.0,4840.0,2792.0,3428.0,6222.0,8784.0,7215.0,15372.0,3143.0
13404.0,46628.0,11930.0,4826.0,2840.0,3439.0,6498.0,9314.0,7294.0,16283.0,3175.0
13329.0,48766.0,12224.0,4859.0,2875.0,3482.0,6595.0,9614.0,7379.0,16688.0,3266.0
13236.0,49505.0,12325.0,4868.0,2876.0,3499.0,6611.0,9757.0,7398.0,16824.0,3285.0
12995.0,51638.0,12368.0,4832.0,2866.0,3507.0,6544.0,9955.0,7350.0,17129.0,3330.0
12849.0,51326.0,12570.0,4807.0,2919.0,3534.0,6523.0,10023.0,7423.0,17188.0,3369.0
13045.0,51126.0,12949.0,4875.0,2995.0,3483.0,6471.0,9973.0,7451.0,17016.0,3343.0
14108.0,51477.0,13855.0,5032.0,3174.0,3606.0,6507.0,10027.0,7610.0,17166.0,3254.0
15077.0,52554.0,14209.0,5296.0,3266.0,3736.0,6744.0,10368.0,7834.0,17751.0,3313.0
15368.0,57917.0,14304.0,5365.0,3236.0,3764.0,7446.0,10902.0,7916.0,18783.0,3315.0
15168.0,59972.0,13836.0,5308.0,3156.0,3658.0,7558.0,10922.0,7819.0,18779.0,3314.0
14635.0,60340.0,13257.0,5126.0,3049.0,3527.0,7589.0,10876.0,7626.0,18721.0,3227.0
13735.0,58405.0,12246.0,4832.0,2833.0,3392.0,7436.0,10513.0,7141.0,18070.0,2960.0
12575.0,55184.0,11342.0,4490.0,2626.0,3110.0,7119.0,9859.0,6662.0,16952.0,2843.0
11670.0,51626.0,10598.0,4136.0,2474.0,3007.0,6784.0,9129.0,6221.0,15639.0,2736.0
11232.0,47257.0,10019.0,3928.0,2310.0,2900.0,6367.0,8468.0,5912.0,14412.0,2643.0
11020.0,42229.0,9865.0,3809.0,2268.0,2860.0,5870.0,7814.0,5704.0,13169.0,2662.0
10966.0,39496.0,9761.0,3724.0,2209.0,2852.0,5611.0,7444.0,5590.0,12535.0,2671.0
11219.0,37791.0,9694.0,3739.0,2225.0,2891.0,5538.0,7248.0,5619.0,12191.0,2600.0
12151.0,36411.0,10080.0,3870.0,2309.0,3005.0,5429.0,7205.0,5860.0,12055.0,2654.0
